ticker,fecha,caida_local_pct,ratio_volumen_exterior,retorno_5r_pct
RIO,2025-04-08,-7.94,2.10,12.07
RIO,2025-07-21,-7.50,0.64,0.00
RIO,2025-09-16,-6.15,1.53,5.83
RIO,2025-11-05,-5.49,1.84,6.45
RIO,2026-03-06,-6.00,0.63,-12.77
RIO,2026-04-22,-5.71,0.51,-4.55
RIO,2026-05-06,-7.54,1.62,23.74
RIO,2026-05-18,-5.49,0.96,3.49
RIO,2026-06-04,-6.52,1.43,-12.21
RIO,2026-06-11,-6.81,0.89,1.60
RIO,2026-07-09,-6.53,0.50,1.08
PPX,2025-02-24,-6.45,0.63,-9.68
PPX,2025-03-03,-6.67,0.09,3.57
PPX,2025-03-12,-6.90,0.01,6.90
PPX,2025-05-13,-6.00,0.07,-7.41
PPX,2025-05-16,-7.41,0.03,0.00
PPX,2025-10-15,-6.67,0.77,-17.67
PPX,2025-11-05,-5.47,0.08,-5.00
PPX,2025-11-07,-5.00,1.06,-5.26
PPX,2025-11-12,-5.26,1.72,-5.26
PPX,2025-12-10,-6.22,0.84,-2.22
PPX,2026-03-04,-5.22,0.57,-4.00
PPX,2026-03-20,-7.66,1.56,-1.02
PPX,2026-04-01,-5.00,3.60,-1.00
PPX,2026-04-16,-7.65,0.30,-2.63
PPX,2026-05-04,-5.41,0.11,1.67
PPX,2026-05-13,-7.65,0.23,-3.55
PPX,2026-06-16,-6.25,0.62,2.65
PPX,2026-07-14,-7.38,0.26,3.33
BVN,2025-11-21,-5.71,0.60,8.53
BVN,2026-02-13,-6.70,0.49,1.85
BVN,2026-03-06,-5.48,0.81,-4.77
BVN,2026-03-19,-6.28,1.70,2.04
BVN,2026-03-20,-6.19,3.02,10.76
BVN,2026-03-23,-5.03,0.66,6.44
BVN,2026-04-16,-5.08,0.58,-12.19
BVN,2026-04-21,-5.03,1.49,-2.09
BVN,2026-04-22,-7.49,1.10,-5.80
BVN,2026-06-19,-5.51,4.29,-8.98
BVN,2026-06-25,-5.45,1.11,-0.65
